game_id,panthers_where,result,panthers_score,opponent_score,panthers_shotsOnGoal,opponent_shotsOnGoal,season
2014010029,home,loss,3,4,25,31,2014-2015
2014010051,away,loss,1,2,24,20,2014-2015
2014010052,away,loss,1,4,23,25,2014-2015
2014010065,away,loss,4,5,24,28,2014-2015
2014010088,home,loss,0,3,21,33,2014-2015
2014010100,away,loss,1,4,37,28,2014-2015
2014020010,away,overtime loss,2,3,21,32,2014-2015
2014020022,home,loss,1,5,29,24,2014-2015
2014020037,home,loss,0,1,30,23,2014-2015
2014020056,away,win,1,0,35,26,2014-2015
2014020069,away,loss,1,2,21,28,2014-2015
2014020087,away,win,4,3,36,33,2014-2015
2014020115,away,overtime loss,1,2,24,41,2014-2015
2014020143,home,win,2,1,26,33,2014-2015
2014020156,home,win,2,1,30,37,2014-2015
2014020172,away,overtime loss,1,2,19,25,2014-2015
2014020188,away,loss,1,4,35,30,2014-2015
2014020202,home,loss,4,6,31,25,2014-2015
2014020225,home,win,4,1,30,26,2014-2015
2014020246,home,loss,3,4,38,34,2014-2015
2014020264,away,win,6,2,29,35,2014-2015
2014020277,away,loss,2,5,32,27,2014-2015
2014020290,away,win,3,2,28,30,2014-2015
2014020302,away,loss,2,3,30,50,2014-2015
2014020315,home,loss,1,4,30,39,2014-2015
2014020327,home,win,1,0,28,33,2014-2015
2014020341,home,win,3,2,46,24,2014-2015
2014020358,away,loss,1,2,25,23,2014-2015
2014020368,away,win,4,3,31,41,2014-2015
2014020382,home,loss,3,4,55,20,2014-2015
2014020395,home,win,3,2,37,28,2014-2015
2014020408,away,loss,2,4,34,28,2014-2015
2014020433,away,win,3,2,26,31,2014-2015
2014020437,away,overtime loss,3,4,28,32,2014-2015
2014020457,home,win,2,1,29,24,2014-2015
2014020467,away,win,2,1,32,26,2014-2015
2014020485,away,loss,1,3,46,34,2014-2015
2014020499,home,win,4,3,37,27,2014-2015
2014020527,home,win,6,4,34,22,2014-2015
2014020541,home,loss,1,2,37,34,2014-2015
2014020551,home,loss,2,5,20,34,2014-2015
