id,fullName,season,age,weight,height,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,ot,shutouts,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,ties
8448208,Jaromir Jagr,2014 - 2015,42-350d,230,"6' 3""",345:01,12.0,6.0,6.0,50.0,20,17.0,2.0,4.0,51:49,293:10,6,100.0,12.0,2.0,0.0,0.0,0.0,00:02,6.0,7.0,18.0,417.0,,,,,,,,,,,,,,,,,,,,
8448208,Jaromir Jagr,2015 - 2016,43-350d,230,"6' 3""",1348:56,39.0,27.0,48.0,143.0,79,31.0,5.0,11.0,214:27,1133:11,48,0.0,18.88,4.0,0.0,0.0,0.0,01:18,16.0,23.0,66.0,1616.0,,,,,,,,,,,,,,,,,,,,
8448208,Jaromir Jagr,2016 - 2017,44-351d,230,"6' 3""",1393:59,30.0,16.0,56.0,181.0,82,21.0,8.0,13.0,226:49,1165:54,56,50.0,8.84,2.0,0.0,0.0,0.0,01:16,4.0,2.0,46.0,1727.0,,,,,,,,,,,,,,,,,,,,
8465185,Willie Mitchell,2014 - 2015,37-283d,210,"6' 3""",1430:48,5.0,3.0,25.0,78.0,66,99.0,0.0,0.0,08:55,1205:43,25,0.0,3.85,0.0,0.0,0.0,1.0,216:10,144.0,1.0,8.0,1729.0,,,,,,,,,,,,,,,,,,,,
8465185,Willie Mitchell,2015 - 2016,38-282d,210,"6' 3""",916:34,6.0,1.0,18.0,33.0,46,68.0,0.0,0.0,05:54,761:48,18,0.0,3.03,1.0,0.0,0.0,0.0,148:52,70.0,-2.0,7.0,1093.0,,,,,,,,,,,,,,,,,,,,
8465978,Shawn Thornton,2014 - 2015,37-192d,217,"6' 2""",440:52,4.0,1.0,50.0,53.0,46,93.0,0.0,0.0,03:34,436:18,50,25.0,1.89,0.0,0.0,0.0,0.0,01:00,5.0,-13.0,5.0,615.0,,,,,,,,,,,,,,,,,,,,
8465978,Shawn Thornton,2015 - 2016,38-191d,217,"6' 2""",434:27,4.0,1.0,80.0,58.0,50,73.0,0.0,0.0,05:28,428:59,80,46.15,1.72,0.0,0.0,0.0,0.0,00:00,2.0,-2.0,5.0,593.0,,,,,,,,,,,,,,,,,,,,
8465978,Shawn Thornton,2016 - 2017,39-192d,217,"6' 2""",384:29,2.0,2.0,67.0,42.0,50,52.0,0.0,0.0,07:38,376:40,67,33.33,4.76,0.0,0.0,0.0,0.0,00:11,8.0,-7.0,4.0,565.0,,,,,,,,,,,,,,,,,,,,
8466285,Brian Campbell,2014 - 2015,35-253d,192,"5' 10""",1903:05,24.0,3.0,22.0,118.0,82,44.0,1.0,12.0,248:36,1571:42,22,0.0,2.54,0.0,0.0,0.0,0.0,82:47,85.0,4.0,27.0,2083.0,,,,,,,,,,,,,,,,,,,,
8466285,Brian Campbell,2015 - 2016,36-253d,192,"5' 10""",1826:47,25.0,6.0,26.0,99.0,82,27.0,0.0,8.0,220:11,1474:03,26,0.0,6.06,1.0,1.0,1.0,1.0,132:33,80.0,31.0,31.0,2052.0,,,,,,,,,,,,,,,,,,,,
8468001,Derek MacKenzie,2014 - 2015,33-233d,177,"5' 11""",1020:58,6.0,5.0,45.0,72.0,82,273.0,1.0,1.0,15:06,809:43,45,53.13,6.94,0.0,0.0,0.0,0.0,196:09,51.0,-17.0,11.0,1495.0,,,,,,,,,,,,,,,,,,,,
8468001,Derek MacKenzie,2015 - 2016,34-233d,177,"5' 11""",841:42,7.0,6.0,36.0,79.0,64,154.0,0.0,0.0,09:27,663:39,36,54.81,7.59,3.0,0.0,0.0,1.0,168:36,38.0,7.0,13.0,1225.0,,,,,,,,,,,,,,,,,,,,
8468001,Derek MacKenzie,2016 - 2017,35-234d,177,"5' 11""",1030:19,10.0,6.0,50.0,91.0,82,192.0,0.0,0.0,12:36,833:13,50,50.0,6.59,1.0,0.0,2.0,5.0,184:30,45.0,-7.0,16.0,1559.0,,,,,,,,,,,,,,,,,,,,
8468001,Derek MacKenzie,2017 - 2018,36-234d,177,"5' 11""",848:06,11.0,3.0,31.0,86.0,75,124.0,0.0,0.0,03:00,672:31,31,52.07,3.49,0.0,0.0,1.0,4.0,172:35,45.0,-9.0,14.0,1309.0,,,,,,,,,,,,,,,,,,,,
8468001,Derek MacKenzie,2018 - 2019,37-234d,177,"5' 11""",02:43,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,00:00,02:43,0,66.67,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,
8468504,Brad Boyes,2014 - 2015,32-289d,199,"6' 0""",1220:44,24.0,14.0,20.0,151.0,78,60.0,5.0,9.0,157:43,1058:48,20,56.07,9.27,4.0,1.0,0.0,0.0,04:13,38.0,11.0,38.0,1513.0,,,,,,,,,,,,,,,,,,,,
8468518,Tomas Kopecky,2014 - 2015,32-360d,210,"6' 3""",825:50,6.0,2.0,28.0,106.0,64,88.0,0.0,0.0,07:44,671:07,28,75.0,1.89,1.0,0.0,0.0,0.0,146:59,22.0,-19.0,8.0,1150.0,,,,,,,,,,,,,,,,,,,,
8469638,Jussi Jokinen,2014 - 2015,31-305d,191,"6' 0""",1355:47,36.0,8.0,34.0,134.0,81,52.0,2.0,9.0,180:20,1034:40,34,50.4,5.97,0.0,0.0,0.0,0.0,140:47,50.0,-2.0,44.0,1794.0,,,,,,,,,,,,,,,,,,,,
8469638,Jussi Jokinen,2015 - 2016,32-305d,191,"6' 0""",1481:36,42.0,18.0,42.0,153.0,81,43.0,5.0,12.0,211:02,1086:07,42,51.53,11.76,1.0,0.0,1.0,2.0,184:27,50.0,25.0,60.0,1917.0,,,,,,,,,,,,,,,,,,,,
8469638,Jussi Jokinen,2016 - 2017,33-305d,191,"6' 0""",1201:20,17.0,11.0,39.0,118.0,69,28.0,4.0,10.0,170:07,937:26,39,52.08,9.32,2.0,0.0,1.0,1.0,93:47,33.0,-15.0,28.0,1598.0,,,,,,,,,,,,,,,,,,,,
8470039,Tomas Fleischmann,2014 - 2015,30-259d,192,"6' 1""",772:01,14.0,7.0,8.0,107.0,52,53.0,0.0,1.0,54:50,664:07,8,22.22,6.54,1.0,0.0,0.0,0.0,53:04,15.0,12.0,21.0,1023.0,,,,,,,,,,,,,,,,,,,,
8470105,Scottie Upshall,2014 - 2015,31-116d,200,"6' 0""",798:58,7.0,8.0,28.0,93.0,63,128.0,0.0,1.0,28:57,689:56,28,52.31,8.6,2.0,0.0,0.0,0.0,80:05,27.0,-8.0,15.0,1147.0,,,,,,,,,,,,,,,,,,,,
8470176,Sean Bergenheim,2014 - 2015,30-357d,201,"5' 11""",551:56,10.0,8.0,34.0,84.0,39,49.0,0.0,2.0,23:14,522:16,34,40.0,9.52,2.0,0.0,0.0,0.0,06:26,7.0,2.0,18.0,690.0,,,,,,,,,,,,,,,,,,,,
8470839,Shane O'Brien,2014 - 2015,31-175d,230,"6' 3""",121:19,1.0,0.0,5.0,4.0,9,36.0,0.0,0.0,00:59,114:42,5,0.0,0.0,0.0,0.0,0.0,0.0,05:38,12.0,-4.0,1.0,174.0,,,,,,,,,,,,,,,,,,,,
8471245,Dave Bolland,2014 - 2015,28-240d,184,"6' 0""",866:38,17.0,6.0,48.0,76.0,53,88.0,0.0,5.0,71:07,701:09,48,44.47,7.89,0.0,0.0,1.0,1.0,94:22,21.0,4.0,23.0,1180.0,,,,,,,,,,,,,,,,,,,,
8471245,Dave Bolland,2015 - 2016,29-239d,184,"6' 0""",352:18,4.0,1.0,16.0,26.0,25,36.0,0.0,3.0,19:43,282:44,16,45.75,3.85,0.0,0.0,0.0,0.0,49:51,9.0,-2.0,5.0,506.0,,,,,,,,,,,,,,,,,,,,
8474000,Steven Kampfer,2014 - 2015,26-128d,198,"5' 11""",429:55,2.0,2.0,12.0,28.0,25,49.0,0.0,1.0,10:42,392:50,12,0.0,7.14,1.0,0.0,0.0,0.0,26:23,33.0,-4.0,4.0,544.0,,,,,,,,,,,,,,,,,,,,
8474000,Steven Kampfer,2015 - 2016,27-128d,198,"5' 11""",709:26,4.0,0.0,26.0,54.0,47,70.0,0.0,1.0,09:52,659:26,26,50.0,0.0,0.0,0.0,0.0,0.0,40:08,70.0,5.0,4.0,887.0,,,,,,,,,,,,,,,,,,,,
